Gene,Percent Change,AbsoluteChange
YGL181W,66.66666666666642,66.66666666666642
YER088c,66.6666666666664,66.6666666666664
YOL155C,66.66666666666636,66.66666666666636
YOR333C,66.66666666666623,66.66666666666623
YML043C,-66.54545454545449,66.54545454545449
YMR305C,-66.45768025078374,66.45768025078374
YFL037W,-66.39004149377597,66.39004149377597
YJL046W,66.31578947368453,66.31578947368453
YKR001C,-66.28787878787884,66.28787878787884
YCR058C,-66.26506024096392,66.26506024096392
YBR062C,66.25000000000006,66.25000000000006
YCR038c,66.25000000000006,66.25000000000006
YEL022w,-66.21160409556313,66.21160409556313
YIL110W,-66.20209059233461,66.20209059233461
YHL020C,66.19718309859131,66.19718309859131
YFL056C,66.19718309859131,66.19718309859131
YGR076C,66.1538461538463,66.1538461538463
YLR246W,66.1538461538463,66.1538461538463
YHR161C,66.1016949152538,66.1016949152538
YFL022C,-66.07773851590116,66.07773851590116
YJL016W,66.07142857142915,66.07142857142915
YHR015W,66.07142857142915,66.07142857142915
YJL198W,-66.07142857142864,66.07142857142864
YKL035W,66.0000000000005,66.0000000000005
YCR040w,65.97938144329963,65.97938144329963
YPR125W,-65.97938144329895,65.97938144329895
YLR192C,-65.97510373443977,65.97510373443977
YBR162C,-65.8620689655172,65.8620689655172
YCR051W,65.85365853658517,65.85365853658517
YMR241W,-65.84507042253533,65.84507042253533
YOR040W,65.78947368421038,65.78947368421038
YJR070C,-65.75875486381332,65.75875486381332
YMR259C,-65.72438162544181,65.72438162544181
YKR063C,65.71428571428595,65.71428571428595
YJR118C,65.71428571428595,65.71428571428595
YDL064w,-65.67656765676566,65.67656765676566
YIL059C,65.6716417910452,65.6716417910452
YDR337W,65.62500000000006,65.62500000000006
YGR139W,65.62500000000006,65.62500000000006
YEL055c,-65.56016597510359,65.56016597510359
YMR205C,-65.49019607843148,65.49019607843148
YOR247W,-65.41666666666653,65.41666666666653
YGR061C,-65.41353383458646,65.41353383458646
YBR158W,-65.38461538461532,65.38461538461532
YJL132W,65.3846153846152,65.3846153846152
YDR511W,65.3846153846152,65.3846153846152
YGL105W,-65.31531531531539,65.31531531531539
YEL042w,-65.23437500000007,65.23437500000007
YDR494W,65.21739130434783,65.21739130434783
YBL069W,65.16853932584318,65.16853932584318
YCL052c,65.16853932584318,65.16853932584318
YLR224W,-65.16129032258068,65.16129032258068
YBR129C,65.15151515151577,65.15151515151577
YKL172W,-65.15151515151511,65.15151515151511
YOL101C,-65.13409961685831,65.13409961685831
YIL091C,-65.10791366906491,65.10791366906491
YPL143W,-65.09803921568636,65.09803921568636
YDL124w,65.07936507936546,65.07936507936546
YOR003W,65.07936507936546,65.07936507936546
YLR211C,65.07936507936546,65.07936507936546
YNL087W,-65.05576208178428,65.05576208178428
YLR223C,-65.05576208178428,65.05576208178428
YHR177W,64.9999999999999,64.9999999999999
YLR058c,-64.94464944649455,64.94464944649455
YIL094C,-64.9122807017544,64.9122807017544
YHR166C,64.89361702127613,64.89361702127613
YMR245W,64.86486486486469,64.86486486486469
YJL069C,-64.84018264840186,64.84018264840186
YGR059W,64.83516483516493,64.83516483516493
YKL153W,-64.81481481481491,64.81481481481491
YIL128W,-64.79400749063657,64.79400749063657
YHR212C,64.7887323943659,64.7887323943659
YGR290W,64.70588235294142,64.70588235294142
YPL276W,64.70588235294142,64.70588235294142
YOR005C,64.70588235294142,64.70588235294142
YFR018C,64.70588235294122,64.70588235294122
YDR395W,-64.70588235294115,64.70588235294115
YKL156W,-64.64285714285715,64.64285714285715
YJL023C,64.6341463414632,64.6341463414632
YJL174W,64.61538461538487,64.61538461538487
YHR002W,64.61538461538487,64.61538461538487
YAL048C,64.55696202531693,64.55696202531693
YDR002W,-64.52991452991445,64.52991452991445
YDR446W,-64.47368421052634,64.47368421052634
YGR075C,-64.40677966101693,64.40677966101693
YHR180W,64.40677966101656,64.40677966101656
