n_background	k_list	p_value
4180	43	0.006176276916930448
2490	30	0.006183984362431208
570	11	0.0062066721986470215
2260	28	0.006210208197621922
740	13	0.006232235779055986
2850	33	0.006250041340946618
490	10	0.00627388663332233
2610	31	0.006278938160876411
920	15	0.0062876511577272965
2730	32	0.006301199227103275
3620	39	0.006312284048050417
1820	24	0.006312398718958528
830	14	0.0063359225901836996
3100	35	0.006336953411970104
2150	27	0.006340725130642487
4650	46	0.006355416562190593
1930	25	0.006396176001965444
1610	22	0.006398509763372178
4490	45	0.006399391643809567
2040	26	0.006404303800250781
4820	47	0.006413130208178086
4040	42	0.006424700275250686
5000	48	0.006434617849013329
1110	17	0.0064366559816247376
90	4	0.00644350257260569
2380	29	0.006452317762776131
3490	38	0.006462356640022052
3230	36	0.0064685082602940255
3760	40	0.006474726784176648
340	8	0.00649466877832241
3360	37	0.006512600009999455
3900	41	0.006518407093403788
2980	34	0.006546273714964119
270	7	0.006560768946927382
1510	21	0.0065829547868044595
4190	43	0.006612810456397521
4340	44	0.006619416709631125
2500	30	0.006622830734938099
1210	18	0.0066304593042763454
5200	49	0.006632203500473778
1720	23	0.006645108750344962
5430	50	0.006653757805525335
2270	28	0.006662690559686935
2860	33	0.006680584355558004
1410	20	0.006691369045207023
1310	19	0.006711357843683282
660	12	0.0067121353442668365
2620	31	0.00671874715282404
2740	32	0.00673822939242461
3630	39	0.006741745042167567
1020	16	0.006745254715390043
3110	35	0.00676806372989552
1830	24	0.006806759353570494
2160	27	0.006808766739067824
4660	46	0.006834484389596742
4500	45	0.006868268733410915
4050	42	0.006871077771885914
2050	26	0.006884757977309941
1940	25	0.0068855321035874864
3500	38	0.0068996581508312315
3240	36	0.006906255423041789
2390	29	0.0069133581137523
4830	47	0.0069138299576098836
3770	40	0.00691627968388665
1620	22	0.00692369764705449
3370	37	0.006952536428498408
930	15	0.0069596082787896675
5010	48	0.006961172082302312
3910	41	0.006966003120131756
750	13	0.006979759091773527
2990	34	0.006991874952432989
840	14	0.007049387497415012
1120	17	0.007061130974580129
580	11	0.0070666095889044475
420	9	0.007071429187326122
4200	43	0.0070772624496844815
2510	30	0.007088519644535595
4350	44	0.007092477228905946
